temp_diff_ame,rh_diff_ame,ws_avg_18_21_ame,wd_avg_18_21_ame,sundur_avg_12_15_ame,temp_diff_chi_hato_ame,temp_diff_chi_yori_ame,press_diff_ame,rain_1d_ame,date,fog_event,chi_sp,chi_t2m,chi_rh2m,chichibu_sp,yori_sp,hato_sp,chichibu_t2m,yori_t2m,hato_t2m,chichibu_rh2m,yori_rh2m,hato_rh2m,tdiffchi1221,tdiffchiyori21,tdiffchihato21,pressdiffchi1221,rhdiffchi1221,pressdiffchiyori21,pressdiffchihato21,ncld_upper_00,ncld_mid_00,ncld_low_00,ncld_upper_06,ncld_mid_06,ncld_low_06
-3.3,16,1.625,213.75,0.5,0,0.5,-0.4,0,2013/09/01,0,96901.45874,298.4965515,85.54641342,97096.57593,98571.57593,99696.57593,296.3347778,297.4207153,297.7488403,74.68606567,80.73294067,84.02981567,2.161773682,-1.0859375,-1.4140625,-195.1171875,10.86034775,-1475,-2600,0.58666891,18.60500143,6.738335297,99.70666441,90.37999817,31.20166752
-9.6,34,1.85,140.625,0.425,0.4,0.2,5.6,19,2013/09/02,0,97633.1665,296.9634399,86.12968826,97612.43286,99137.43286,100287.4329,294.8885498,295.5760498,296.4119873,86.91577911,85.69702911,83.46265411,2.074890137,-0.6875,-1.5234375,20.73364258,-0.786090851,-1525,-2675,54.73499979,14.8450016,24.65833448,94.23666466,56.05333306,27.15000104
-1.6,10,0.575,236.25,0,-1.1,-0.4,0.8,1.5,2013/09/03,0,97597.3999,295.4794006,81.19353867,97591.8396,99116.8396,100266.8396,292.9710999,294.1429749,295.1351624,91.11658096,96.08533096,92.60095596,2.508300781,-1.171875,-2.1640625,5.560302734,-9.923042297,-1525,-2675,26.12333442,13.72166831,7.618335257,1.661668861,11.72000174,2.881668806
-3.6,5,2.225,135,0.675,-0.5,-0.1,0,0,2013/09/04,0,97455.43823,297.131134,79.66608047,97282.39136,98807.39136,99944.89136,294.0446167,295.6852417,296.2321167,95.44575119,97.18012619,96.93012619,3.086517334,-1.640625,-2.1875,173.046875,-15.77967072,-1525,-2662.5,2.27E-06,33.10666743,29.88333425,2.686668815,15.62500156,17.04166816
-3,10,1.4,196.875,0.3,-3,-0.2,0.8,0,2013/09/05,0,97115.60059,296.7872314,79.94401741,97398.19336,98910.69336,100035.6934,294.059082,295.5825195,296.293457,96.28072739,96.39010239,94.31197739,2.728149414,-1.5234375,-2.234375,-282.5927734,-16.33670998,-1512.5,-2637.5,78.51499871,46.3383335,5.176668702,27.63833435,39.11166716,36.18166729
-2.6,15,1.25,196.875,0.325,-0.7,-0.5,2.5,0,2013/09/06,0,97672.77832,296.7191162,90.47323227,97904.67529,99404.67529,100554.6753,293.345459,294.9001465,295.8688965,77.51517296,74.29642296,73.42142296,3.373657227,-1.5546875,-2.5234375,-231.8969727,12.95805931,-1500,-2650,47.85166676,43.60500029,34.76666736,2.27E-06,46.3383335,38.47666719
-2.6,6,2.1,90,0,-0.5,0.6,1.1,0,2013/09/07,0,98049.95117,294.1233826,82.99158859,98074.71924,99612.21924,100762.2192,291.8981018,292.7652893,293.6949768,91.22590256,90.02277756,86.89777756,2.225280762,-0.8671875,-1.796875,-24.76806641,-8.234313965,-1537.5,-2687.5,86.32666502,26.66166773,21.92500127,40.43000043,42.676667,29.27333427
0.2,2,0.7,230.625,0,-1.2,-0.5,-1.1,0.5,2013/09/08,0,98014.27612,294.2115479,91.06527901,97644.75708,99182.25708,100332.2571,293.8225708,293.9397583,294.6663208,93.53977203,97.93039703,96.36789703,0.388977051,-0.1171875,-0.84375,369.519043,-2.474493027,-1537.5,-2687.5,52.39166656,39.16166716,32.81333411,48.09666675,73.24166561,41.2600004
-3.2,8,0.725,90,0,-0.3,0.3,2.3,3.5,2013/09/09,0,97706.64063,293.2070923,87.30218887,97783.65479,99296.15479,100446.1548,291.4612427,292.1174927,292.6956177,80.26501465,81.14001465,82.07751465,1.745849609,-0.65625,-1.234375,-77.01416016,7.037174225,-1512.5,-2662.5,32.52000079,8.691668542,0.44000225,23.63333453,21.19166797,8.59500188
-5,27,0.75,168.75,0.35,-0.4,0.8,0.6,0,2013/09/10,0,97760.40649,293.2682495,76.98360825,97782.52563,99332.52563,100482.5256,290.0053101,291.4818726,291.8959351,86.09678268,83.26865768,81.95615768,3.262939453,-1.4765625,-1.890625,-22.11914063,-9.113174438,-1550,-2700,15.48000157,16.50500152,2.686668815,14.7950016,38.82000051,11.23166843
